dropped_file_names,true_label,true_id
,Mexican Gray Wolf,15
,Coyote,11
,Domestic Dog,18
,Domestic Dog,18
,Domestic Dog,18
,Mexican Gray Wolf,15
,Domestic Dog,18
,Coyote,11
,Mexican Gray Wolf,15
,Coyote,11
,Coyote,11
,Coyote,11
,Coyote,11
,Coyote,11
,Domestic Dog,18
,Coyote,11
,Mexican Gray Wolf,15
,Coyote,11
,Coyote,11
,Coyote,11
,Coyote,11
,Mexican Gray Wolf,15
,Coyote,11
,Domestic Dog,18
,Mexican Gray Wolf,15
,Coyote,11
,Domestic Dog,18
,Coyote,11
,Coyote,11
,Mexican Gray Wolf,15
,Coyote,11
,Mexican Gray Wolf,15
,Domestic Dog,18
,Mexican Gray Wolf,15
,Coyote,11
,Domestic Dog,18
,Mexican Gray Wolf,15
,Domestic Dog,18
,Coyote,11
,Domestic Dog,18
,Mexican Gray Wolf,15
,Coyote,11
,Domestic Dog,18
,Domestic Dog,18
,Mexican Gray Wolf,15
,Mexican Gray Wolf,15
,Mexican Gray Wolf,15
,Mexican Gray Wolf,15
,Mexican Gray Wolf,15
,Mexican Gray Wolf,15
,Mexican Gray Wolf,15
,Mexican Gray Wolf,15
,Coyote,11
,Coyote,11
,Domestic Dog,18
,Mexican Gray Wolf,15
,Domestic Dog,18
,Coyote,11
,Mexican Gray Wolf,15
